Player,Pos,Salary,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER
Bojan Bogdanović,SF,18700000.00 ,31.00 ,UTA,72.00 ,72.00 ,30.80 ,5.60 ,12.80 ,0.44 ,2.50 ,6.40 ,0.39 ,3.10 ,6.40 ,0.49 ,0.54 ,3.20 ,3.70 ,0.88 ,0.60 ,3.30 ,3.90 ,1.90 ,0.60 ,0.10 ,1.80 ,1.60 ,17.00 ,14.20 
Bol Bol,PF,2161152.00 ,21.00 ,DEN,32.00 ,2.00 ,5.00 ,0.80 ,1.80 ,0.43 ,0.30 ,0.80 ,0.38 ,0.50 ,1.10 ,0.47 ,0.51 ,0.30 ,0.50 ,0.67 ,0.00 ,0.80 ,0.80 ,0.20 ,0.10 ,0.30 ,0.40 ,0.40 ,2.20 ,2.00 
Marques Bolden,C,#N/A,22.00 ,CLE,6.00 ,0.00 ,4.80 ,0.20 ,0.50 ,0.33 ,0.00 ,0.00 ,,0.20 ,0.50 ,0.33 ,0.33 ,0.80 ,1.30 ,0.63 ,0.50 ,0.50 ,1.00 ,0.00 ,0.30 ,0.30 ,0.30 ,0.00 ,1.20 ,2.00 
Jordan Bone,PG,#N/A,23.00 ,ORL,14.00 ,0.00 ,14.00 ,1.60 ,3.90 ,0.43 ,0.70 ,2.30 ,0.31 ,0.90 ,1.60 ,0.59 ,0.52 ,0.00 ,0.00 ,,0.30 ,1.40 ,1.70 ,1.30 ,0.10 ,0.00 ,0.20 ,0.80 ,4.00 ,4.00 
Isaac Bonga,SF,1729217.00 ,21.00 ,WAS,40.00 ,8.00 ,10.80 ,0.80 ,2.00 ,0.37 ,0.30 ,1.20 ,0.28 ,0.40 ,0.90 ,0.50 ,0.45 ,0.10 ,0.20 ,0.63 ,0.50 ,1.20 ,1.70 ,0.60 ,0.30 ,0.20 ,0.60 ,1.60 ,2.00 ,1.90 
Devin Booker,SG,31610000.00 ,24.00 ,PHO,67.00 ,67.00 ,33.90 ,9.30 ,19.20 ,0.48 ,1.90 ,5.50 ,0.34 ,7.40 ,13.70 ,0.54 ,0.53 ,5.10 ,5.90 ,0.87 ,0.50 ,3.70 ,4.20 ,4.30 ,0.80 ,0.20 ,3.10 ,2.70 ,25.60 ,21.70 
Chris Boucher,C,7009615.00 ,28.00 ,TOR,60.00 ,14.00 ,24.20 ,4.80 ,9.30 ,0.51 ,1.50 ,3.90 ,0.38 ,3.30 ,5.40 ,0.61 ,0.60 ,2.50 ,3.20 ,0.79 ,2.00 ,4.80 ,6.70 ,1.10 ,0.60 ,1.90 ,0.80 ,2.80 ,13.60 ,15.90 
Brian Bowen,SF,#N/A,22.00 ,IND,6.00 ,0.00 ,2.50 ,0.20 ,0.70 ,0.25 ,0.00 ,0.20 ,0.00 ,0.20 ,0.50 ,0.33 ,0.25 ,0.20 ,0.20 ,1.00 ,0.00 ,0.50 ,0.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.20 ,0.50 ,0.30 
Avery Bradley,SG,2641691.00 ,30.00 ,TOT,27.00 ,6.00 ,22.30 ,2.40 ,6.30 ,0.37 ,1.20 ,3.70 ,0.33 ,1.10 ,2.60 ,0.44 ,0.47 ,0.40 ,0.60 ,0.80 ,0.30 ,1.80 ,2.10 ,1.70 ,0.80 ,0.10 ,1.00 ,2.00 ,6.40 ,5.00 
Avery Bradley,SG,2641691.00 ,30.00 ,MIA,10.00 ,1.00 ,21.10 ,3.10 ,6.60 ,0.47 ,1.60 ,3.80 ,0.42 ,1.50 ,2.80 ,0.54 ,0.59 ,0.70 ,0.90 ,0.78 ,0.20 ,1.60 ,1.80 ,1.40 ,0.70 ,0.10 ,0.90 ,2.60 ,8.50 ,6.20 
